id,name,price,stock
1,Laptop Pro,999.99,50
2,Mouse Wireless,29.99,200
3,Teclado Mecánico,89.99,75
4,Monitor 27",349.99,30
5,Webcam HD,79.99,120
6,Auriculares Gaming,149.99,85
7,SSD 1TB,109.99,150
8,RAM 16GB DDR5,89.99,100
9,Tarjeta Gráfica RTX,599.99,25
10,Fuente 750W,79.99,60
11,Caja PC ATX,129.99,40
12,Refrigeración Líquida,189.99,35
13,Hub USB-C,39.99,180
14,Cable HDMI 2.1,19.99,300
15,Alfombrilla XL,24.99,250
16,Micrófono USB,99.99,70
17,Soporte Monitor,49.99,90
18,Luz LED Escritorio,34.99,110
19,Tablet Gráfica,299.99,45
20,Dock Station,179.99,55
